nohup: ignoring input
/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
global_step=1501924, episodic_return=917.12
global_step=1505928, episodic_return=973.78
Eval: global_step=1507328, reward=765.68 +/- 321.38
global_step=1509932, episodic_return=1212.33
global_step=1513936, episodic_return=1128.41
Eval: global_step=1515520, reward=974.46 +/- 256.11
global_step=1517940, episodic_return=1089.63
global_step=1521944, episodic_return=1183.33
Eval: global_step=1523712, reward=1010.42 +/- 178.44
global_step=1525948, episodic_return=579.32
global_step=1529952, episodic_return=1083.05
global_step=1530128, episodic_return=33.01
Eval: global_step=1531904, reward=961.16 +/- 292.81
global_step=1532212, episodic_return=618.26
global_step=1534332, episodic_return=676.36
global_step=1536880, episodic_return=632.35
Eval: global_step=1540096, reward=1007.18 +/- 214.74
global_step=1540884, episodic_return=917.86
global_step=1544888, episodic_return=1009.71
Eval: global_step=1548288, reward=911.70 +/- 206.13
global_step=1548892, episodic_return=1101.51
global_step=1552896, episodic_return=1061.39
Eval: global_step=1556480, reward=1007.29 +/- 228.72
global_step=1556900, episodic_return=1061.82
global_step=1560904, episodic_return=653.06
Eval: global_step=1564672, reward=864.37 +/- 275.51
global_step=1564908, episodic_return=1232.39
global_step=1568912, episodic_return=682.07
Eval: global_step=1572864, reward=892.66 +/- 215.93
global_step=1572916, episodic_return=1137.39
global_step=1576920, episodic_return=1121.53
global_step=1580924, episodic_return=1109.22
Eval: global_step=1581056, reward=939.26 +/- 225.90
global_step=1583988, episodic_return=859.50
global_step=1586512, episodic_return=755.59
Eval: global_step=1589248, reward=766.11 +/- 408.17
global_step=1590516, episodic_return=1210.54
global_step=1594520, episodic_return=1188.05
