/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
Starting PPO Teacher Training on CartPole-v1...
[8/12] Initializing Student with frac=0.5, samples=50000 - student_8
Teacher Architecture: 2 layers, 64 neurons
Student Architecture: 2 layers, 32 neurons (frac: 0.5)

[9/12] Initializing Student with frac=0.25, samples=50000 - student_9
Teacher Architecture: 2 layers, 64 neurons
Student Architecture: 2 layers, 16 neurons (frac: 0.25)

[10/12] Initializing Student with frac=1.0, samples=100000 - student_10
Teacher Architecture: 2 layers, 64 neurons
Student Architecture: 2 layers, 64 neurons (frac: 1.0)

[11/12] Initializing Student with frac=0.5, samples=100000 - student_11
Teacher Architecture: 2 layers, 64 neurons
Student Architecture: 2 layers, 32 neurons (frac: 0.5)

[12/12] Initializing Student with frac=0.25, samples=100000 - student_12
Teacher Architecture: 2 layers, 64 neurons
Student Architecture: 2 layers, 16 neurons (frac: 0.25)
Robustness (student_1_robustness) Noise=0.000 | Mean Reward: 494.66 +- 21.77
Robustness (teacher_robustness) Noise=0.000 | Mean Reward: 500.00 +- 0.00
Robustness (student_2_robustness) Noise=0.000 | Mean Reward: 450.90 +- 52.85
Robustness (student_3_robustness) Noise=0.000 | Mean Reward: 411.93 +- 104.57
Robustness (student_4_robustness) Noise=0.000 | Mean Reward: 498.25 +- 12.66
Robustness (student_5_robustness) Noise=0.000 | Mean Reward: 498.27 +- 12.39
Robustness (student_6_robustness) Noise=0.000 | Mean Reward: 497.65 +- 13.42
Robustness (student_7_robustness) Noise=0.000 | Mean Reward: 500.00 +- 0.00
Robustness (student_8_robustness) Noise=0.000 | Mean Reward: 500.00 +- 0.00
Robustness (student_9_robustness) Noise=0.000 | Mean Reward: 500.00 +- 0.00
Robustness (student_10_robustness) Noise=0.000 | Mean Reward: 500.00 +- 0.00
Robustness (student_11_robustness) Noise=0.000 | Mean Reward: 500.00 +- 0.00
Robustness (student_12_robustness) Noise=0.000 | Mean Reward: 500.00 +- 0.00
