/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
[[36m2026-02-28 03:52:26,142[0m][[34mOpenGL.acceleratesupport[0m][[32mINFO[0m] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'[0m
Starting PPO Teacher Training on HalfCheetah-v5...
global_step=488484, episodic_return=2642.45
Eval: global_step=491520, reward=2963.04 +/- 30.66
global_step=492488, episodic_return=2554.86
global_step=496492, episodic_return=2536.41
Eval: global_step=499712, reward=2947.43 +/- 21.57
global_step=500496, episodic_return=2674.80
global_step=504500, episodic_return=125.34
Eval: global_step=507904, reward=3011.69 +/- 31.68
global_step=508504, episodic_return=2603.41
global_step=512508, episodic_return=2639.21
Eval: global_step=516096, reward=2921.73 +/- 461.64
global_step=516512, episodic_return=2562.07
global_step=520516, episodic_return=2635.07
Eval: global_step=524288, reward=3118.72 +/- 35.38
global_step=524520, episodic_return=2711.38
global_step=528524, episodic_return=2626.90
Eval: global_step=532480, reward=3153.66 +/- 36.28
global_step=532528, episodic_return=1185.86
global_step=536532, episodic_return=2753.97
global_step=540536, episodic_return=1290.22
Eval: global_step=540672, reward=3164.05 +/- 20.97
global_step=544540, episodic_return=2785.61
global_step=548544, episodic_return=2774.91
Eval: global_step=548864, reward=3202.20 +/- 36.91
global_step=552548, episodic_return=2767.85
global_step=556552, episodic_return=2785.77
Eval: global_step=557056, reward=3203.99 +/- 35.49
global_step=560556, episodic_return=2784.30
global_step=564560, episodic_return=262.91
Eval: global_step=565248, reward=3178.61 +/- 33.24
global_step=568564, episodic_return=2853.89
global_step=572568, episodic_return=2818.50
Eval: global_step=573440, reward=2981.02 +/- 696.82
global_step=576572, episodic_return=2828.50
global_step=580576, episodic_return=429.10
Eval: global_step=581632, reward=3260.25 +/- 45.02
global_step=584580, episodic_return=2821.86
global_step=588584, episodic_return=2744.48
Eval: global_step=589824, reward=3214.24 +/- 77.05
global_step=592588, episodic_return=2525.98
global_step=596592, episodic_return=2841.90
Eval: global_step=598016, reward=3258.37 +/- 51.91
global_step=600596, episodic_return=2844.72
global_step=604600, episodic_return=2796.04
Eval: global_step=606208, reward=2977.61 +/- 863.77
global_step=608604, episodic_return=2946.87
global_step=612608, episodic_return=2933.50
Eval: global_step=614400, reward=3193.78 +/- 128.89
global_step=616612, episodic_return=2921.45
global_step=620616, episodic_return=2918.12
Eval: global_step=622592, reward=3021.20 +/- 608.42
global_step=624620, episodic_return=3002.65
global_step=628624, episodic_return=2879.16
Eval: global_step=630784, reward=3261.13 +/- 24.49
global_step=632628, episodic_return=2853.82
global_step=636632, episodic_return=2974.93
Eval: global_step=638976, reward=3131.13 +/- 460.06
global_step=640636, episodic_return=3065.42
global_step=644640, episodic_return=2968.18
Eval: global_step=647168, reward=3193.40 +/- 169.05
global_step=648644, episodic_return=63.63
global_step=652648, episodic_return=2979.42
Eval: global_step=655360, reward=3296.62 +/- 52.15
global_step=656652, episodic_return=2928.16
global_step=660656, episodic_return=2969.10
Eval: global_step=663552, reward=2922.45 +/- 777.73
global_step=664660, episodic_return=2933.34
global_step=668664, episodic_return=67.28
Eval: global_step=671744, reward=2899.58 +/- 828.80
global_step=672668, episodic_return=3024.99
global_step=676672, episodic_return=1976.72
Eval: global_step=679936, reward=3195.77 +/- 349.71
global_step=680676, episodic_return=2971.16
global_step=684680, episodic_return=2841.48
Eval: global_step=688128, reward=3037.22 +/- 864.74
global_step=688684, episodic_return=2908.60
global_step=692688, episodic_return=2952.44
Eval: global_step=696320, reward=3329.45 +/- 32.69
global_step=696692, episodic_return=2993.40
global_step=700696, episodic_return=3122.69
Eval: global_step=704512, reward=3057.05 +/- 841.69
global_step=704700, episodic_return=3049.24
global_step=708704, episodic_return=2944.15
Eval: global_step=712704, reward=3157.73 +/- 543.31
global_step=712708, episodic_return=3065.96
global_step=716712, episodic_return=3090.35
global_step=720716, episodic_return=2989.88
Eval: global_step=720896, reward=3326.56 +/- 37.73
global_step=724720, episodic_return=241.66
global_step=728724, episodic_return=2980.88
Eval: global_step=729088, reward=3053.41 +/- 568.26
global_step=732728, episodic_return=3140.35
global_step=736732, episodic_return=3048.37
Eval: global_step=737280, reward=2811.34 +/- 1038.52
global_step=740736, episodic_return=3120.64
global_step=744740, episodic_return=3020.09
Eval: global_step=745472, reward=3348.93 +/- 37.81
global_step=748744, episodic_return=1523.57
global_step=752748, episodic_return=3065.47
Eval: global_step=753664, reward=3124.94 +/- 773.63
global_step=756752, episodic_return=3155.48
global_step=760756, episodic_return=3142.68
Eval: global_step=761856, reward=3419.44 +/- 34.45
global_step=764760, episodic_return=3117.00
global_step=768764, episodic_return=3173.29
Eval: global_step=770048, reward=3226.39 +/- 647.47
global_step=772768, episodic_return=3140.73
global_step=776772, episodic_return=3214.34
Eval: global_step=778240, reward=3428.37 +/- 43.44
global_step=780776, episodic_return=3134.86
global_step=784780, episodic_return=3082.73
Eval: global_step=786432, reward=3391.18 +/- 39.87
global_step=788784, episodic_return=3030.15
global_step=792788, episodic_return=3076.18
Eval: global_step=794624, reward=3434.71 +/- 24.32
global_step=796792, episodic_return=3179.25
global_step=800796, episodic_return=3185.54
Eval: global_step=802816, reward=3404.92 +/- 45.83
global_step=804800, episodic_return=3178.15
global_step=808804, episodic_return=3157.99
Eval: global_step=811008, reward=3232.93 +/- 489.65
global_step=812808, episodic_return=3154.35
global_step=816812, episodic_return=1960.44
Eval: global_step=819200, reward=3425.95 +/- 35.65
global_step=820816, episodic_return=3195.11
global_step=824820, episodic_return=3228.83
Eval: global_step=827392, reward=3459.52 +/- 38.80
global_step=828824, episodic_return=3155.74
global_step=832828, episodic_return=3276.77
Eval: global_step=835584, reward=3451.95 +/- 45.25
global_step=836832, episodic_return=3275.80
global_step=840836, episodic_return=3233.80
Eval: global_step=843776, reward=3420.50 +/- 247.93
global_step=844840, episodic_return=3269.53
global_step=848844, episodic_return=3228.85
Eval: global_step=851968, reward=3489.22 +/- 30.69
global_step=852848, episodic_return=3335.70
global_step=856852, episodic_return=3299.53
Eval: global_step=860160, reward=3474.34 +/- 34.94
global_step=860856, episodic_return=3359.33
global_step=864860, episodic_return=3339.50
Eval: global_step=868352, reward=3496.93 +/- 44.24
global_step=868864, episodic_return=1071.19
global_step=872868, episodic_return=3227.93
Eval: global_step=876544, reward=3162.65 +/- 1001.42
global_step=876872, episodic_return=3310.31
global_step=880876, episodic_return=3307.65
Eval: global_step=884736, reward=3333.60 +/- 487.35
global_step=884880, episodic_return=3303.59
global_step=888884, episodic_return=3296.41
global_step=892888, episodic_return=3277.45
Eval: global_step=892928, reward=3483.63 +/- 31.55
global_step=896892, episodic_return=3256.33
global_step=900896, episodic_return=3287.44
Eval: global_step=901120, reward=3492.36 +/- 28.28
global_step=904900, episodic_return=3277.89
global_step=908904, episodic_return=3381.35
Eval: global_step=909312, reward=3525.55 +/- 35.35
global_step=912908, episodic_return=3289.90
global_step=916912, episodic_return=3350.93
Eval: global_step=917504, reward=3540.48 +/- 37.45
global_step=920916, episodic_return=3430.72
global_step=924920, episodic_return=3350.51
Eval: global_step=925696, reward=3532.10 +/- 24.20
global_step=928924, episodic_return=3337.88
global_step=932928, episodic_return=3360.87
Eval: global_step=933888, reward=3167.52 +/- 1011.34
global_step=936932, episodic_return=3374.24
global_step=940936, episodic_return=3345.92
Eval: global_step=942080, reward=3527.65 +/- 51.13
global_step=944940, episodic_return=3399.21
global_step=948944, episodic_return=3409.47
Eval: global_step=950272, reward=3506.49 +/- 45.20
global_step=952948, episodic_return=3345.95
global_step=956952, episodic_return=578.16
Eval: global_step=958464, reward=3536.63 +/- 58.00
global_step=960956, episodic_return=3456.83
global_step=964960, episodic_return=3418.08
Eval: global_step=966656, reward=3504.12 +/- 35.46
global_step=968964, episodic_return=3375.90
global_step=972968, episodic_return=3337.88
Eval: global_step=974848, reward=3525.81 +/- 19.17
global_step=976972, episodic_return=3398.90
global_step=980976, episodic_return=17.36
Eval: global_step=983040, reward=3379.04 +/- 389.93
global_step=984980, episodic_return=3351.44
global_step=988984, episodic_return=3326.54
