/scratch1/tsa5252/anaconda3/lib/python3.11/site-packages/hydra/_internal/defaults_list.py:251: UserWarning: In 'config': Defaults list is missing `_self_`. See https://hydra.cc/docs/1.2/upgrades/1.0_to_1.1/default_composition_order for more information
  warnings.warn(msg, UserWarning)
global_step=63452, episodic_return=194.78
global_step=63852, episodic_return=202.36
global_step=64236, episodic_return=201.23
global_step=64612, episodic_return=184.80
global_step=65004, episodic_return=215.86
global_step=65308, episodic_return=139.04
Eval: global_step=65536, reward=229.22 +/- 1.36
global_step=65732, episodic_return=222.82
global_step=66148, episodic_return=230.39
global_step=66560, episodic_return=217.28
global_step=66960, episodic_return=218.37
global_step=67328, episodic_return=204.48
global_step=67744, episodic_return=228.74
global_step=68156, episodic_return=220.67
global_step=68588, episodic_return=229.47
global_step=68984, episodic_return=200.61
global_step=69416, episodic_return=226.53
global_step=69884, episodic_return=239.80
global_step=70064, episodic_return=70.40
global_step=70508, episodic_return=223.35
global_step=70760, episodic_return=116.44
global_step=71212, episodic_return=233.33
global_step=71480, episodic_return=120.29
global_step=71876, episodic_return=217.68
global_step=72168, episodic_return=143.42
global_step=72616, episodic_return=236.64
global_step=73100, episodic_return=247.56
global_step=73500, episodic_return=222.44
Eval: global_step=73728, reward=233.16 +/- 1.55
global_step=73920, episodic_return=229.45
global_step=74352, episodic_return=227.88
global_step=74764, episodic_return=224.72
global_step=75168, episodic_return=229.23
global_step=75636, episodic_return=242.92
global_step=76044, episodic_return=226.05
global_step=76484, episodic_return=229.36
global_step=76932, episodic_return=228.08
global_step=77384, episodic_return=237.35
global_step=77792, episodic_return=222.61
global_step=78216, episodic_return=229.02
global_step=78712, episodic_return=248.26
global_step=79156, episodic_return=233.46
global_step=79572, episodic_return=216.95
global_step=80008, episodic_return=236.34
global_step=80428, episodic_return=228.06
global_step=80816, episodic_return=213.80
global_step=81228, episodic_return=224.99
global_step=81596, episodic_return=188.96
Eval: global_step=81920, reward=229.71 +/- 1.14
global_step=82016, episodic_return=224.65
global_step=82436, episodic_return=231.65
global_step=82872, episodic_return=233.10
global_step=83296, episodic_return=230.24
global_step=83724, episodic_return=232.33
global_step=84172, episodic_return=234.65
global_step=84576, episodic_return=226.83
global_step=85052, episodic_return=233.33
global_step=85444, episodic_return=218.38
global_step=85856, episodic_return=202.84
global_step=86244, episodic_return=220.74
global_step=86692, episodic_return=217.48
global_step=86868, episodic_return=69.07
global_step=87284, episodic_return=230.64
global_step=87676, episodic_return=207.42
global_step=88096, episodic_return=235.91
global_step=88512, episodic_return=228.21
global_step=88960, episodic_return=237.51
global_step=89412, episodic_return=231.87
global_step=89824, episodic_return=223.58
Eval: global_step=90112, reward=227.84 +/- 1.41
global_step=90236, episodic_return=227.49
global_step=90580, episodic_return=180.20
global_step=90988, episodic_return=228.29
global_step=91440, episodic_return=241.41
global_step=91844, episodic_return=224.00
global_step=92268, episodic_return=231.33
global_step=92680, episodic_return=227.64
global_step=93112, episodic_return=220.95
global_step=93552, episodic_return=238.74
global_step=93972, episodic_return=235.04
global_step=94396, episodic_return=221.67
global_step=94820, episodic_return=237.17
global_step=95260, episodic_return=233.21
global_step=95652, episodic_return=203.86
global_step=96080, episodic_return=232.06
global_step=96360, episodic_return=136.35
global_step=96792, episodic_return=241.12
global_step=97200, episodic_return=222.31
global_step=97608, episodic_return=215.75
global_step=98052, episodic_return=238.01
Eval: global_step=98304, reward=226.42 +/- 1.11
global_step=98460, episodic_return=222.72
global_step=98884, episodic_return=233.55
global_step=99304, episodic_return=233.44
global_step=99736, episodic_return=241.86
global_step=100148, episodic_return=229.31
global_step=100568, episodic_return=228.81
global_step=100980, episodic_return=229.75
global_step=101408, episodic_return=235.42
global_step=101828, episodic_return=227.30
global_step=102248, episodic_return=230.27
global_step=102684, episodic_return=235.73
global_step=103112, episodic_return=235.31
global_step=103516, episodic_return=227.69
global_step=103940, episodic_return=228.91
global_step=104352, episodic_return=228.77
global_step=104772, episodic_return=230.44
global_step=105196, episodic_return=231.69
global_step=105592, episodic_return=219.66
global_step=106000, episodic_return=225.70
global_step=106412, episodic_return=227.35
Eval: global_step=106496, reward=224.10 +/- 0.93
global_step=106828, episodic_return=233.06
global_step=107240, episodic_return=225.38
global_step=107668, episodic_return=233.69
global_step=108076, episodic_return=226.43
global_step=108468, episodic_return=216.02
global_step=108860, episodic_return=223.07
global_step=109288, episodic_return=226.49
global_step=109688, episodic_return=224.80
global_step=110116, episodic_return=230.57
global_step=110512, episodic_return=219.33
global_step=110900, episodic_return=221.03
global_step=111304, episodic_return=222.50
global_step=111716, episodic_return=218.98
global_step=112132, episodic_return=230.00
global_step=112552, episodic_return=230.22
global_step=112948, episodic_return=219.58
global_step=113376, episodic_return=234.07
global_step=113772, episodic_return=221.37
global_step=114192, episodic_return=229.81
global_step=114584, episodic_return=208.68
Eval: global_step=114688, reward=225.98 +/- 1.07
global_step=114996, episodic_return=229.13
global_step=115416, episodic_return=229.90
global_step=115820, episodic_return=226.07
global_step=116224, episodic_return=225.37
global_step=116628, episodic_return=227.04
global_step=117044, episodic_return=224.70
global_step=117460, episodic_return=233.22
global_step=117848, episodic_return=214.25
global_step=118260, episodic_return=230.87
global_step=118664, episodic_return=228.69
global_step=119088, episodic_return=232.36
global_step=119504, episodic_return=228.92
global_step=119924, episodic_return=229.80
global_step=120336, episodic_return=225.57
global_step=120760, episodic_return=231.59
global_step=121160, episodic_return=222.91
global_step=121576, episodic_return=228.11
global_step=121976, episodic_return=218.91
global_step=122396, episodic_return=235.38
global_step=122800, episodic_return=227.28
Eval: global_step=122880, reward=227.24 +/- 0.81
global_step=123220, episodic_return=235.78
global_step=123624, episodic_return=218.28
global_step=124020, episodic_return=222.76
global_step=124396, episodic_return=205.37
global_step=124808, episodic_return=225.99
global_step=125204, episodic_return=209.67
global_step=125596, episodic_return=218.67
global_step=126004, episodic_return=224.48
global_step=126420, episodic_return=230.42
global_step=126832, episodic_return=226.70
global_step=127232, episodic_return=219.96
global_step=127636, episodic_return=223.75
global_step=128040, episodic_return=227.12
global_step=128448, episodic_return=228.19
global_step=128864, episodic_return=226.93
global_step=129280, episodic_return=230.90
global_step=129680, episodic_return=224.59
global_step=130092, episodic_return=230.37
global_step=130504, episodic_return=228.08
global_step=130904, episodic_return=224.83
Eval: global_step=131072, reward=227.23 +/- 1.29
global_step=131316, episodic_return=228.12
global_step=131732, episodic_return=229.34
global_step=132140, episodic_return=227.80
global_step=132540, episodic_return=222.76
global_step=132952, episodic_return=232.15
global_step=133352, episodic_return=222.75
global_step=133752, episodic_return=221.23
global_step=134164, episodic_return=224.74
global_step=134576, episodic_return=228.95
global_step=134988, episodic_return=227.67
global_step=135400, episodic_return=228.30
global_step=135812, episodic_return=230.88
global_step=136212, episodic_return=223.58
global_step=136620, episodic_return=226.59
global_step=137028, episodic_return=226.49
global_step=137440, episodic_return=229.91
global_step=137852, episodic_return=224.01
global_step=138256, episodic_return=224.81
global_step=138660, episodic_return=223.71
global_step=139064, episodic_return=226.79
Eval: global_step=139264, reward=227.41 +/- 1.57
global_step=139448, episodic_return=211.07
global_step=139852, episodic_return=227.47
global_step=140268, episodic_return=230.85
global_step=140680, episodic_return=229.91
global_step=141084, episodic_return=226.32
global_step=141488, episodic_return=225.96
global_step=141900, episodic_return=230.01
global_step=142324, episodic_return=231.96
global_step=142728, episodic_return=224.05
global_step=143140, episodic_return=226.30
global_step=143552, episodic_return=223.95
global_step=143972, episodic_return=231.34
global_step=144388, episodic_return=229.89
global_step=144792, episodic_return=225.37
global_step=145200, episodic_return=228.64
global_step=145608, episodic_return=227.48
global_step=146008, episodic_return=225.14
global_step=146420, episodic_return=233.22
global_step=146824, episodic_return=228.55
global_step=147236, episodic_return=232.17
Eval: global_step=147456, reward=228.23 +/- 0.78
global_step=147648, episodic_return=228.45
global_step=148052, episodic_return=230.48
global_step=148472, episodic_return=232.22
global_step=148884, episodic_return=229.81
global_step=149304, episodic_return=230.03
global_step=149724, episodic_return=230.96
global_step=150136, episodic_return=229.62
global_step=150548, episodic_return=228.81
global_step=150956, episodic_return=227.86
global_step=151360, episodic_return=228.05
global_step=151772, episodic_return=232.70
global_step=152192, episodic_return=232.52
global_step=152612, episodic_return=233.21
global_step=153020, episodic_return=226.92
global_step=153428, episodic_return=230.03
global_step=153840, episodic_return=231.13
global_step=154252, episodic_return=228.72
global_step=154664, episodic_return=229.49
global_step=155076, episodic_return=228.85
global_step=155508, episodic_return=232.77
Eval: global_step=155648, reward=229.87 +/- 0.84
global_step=155916, episodic_return=226.94
global_step=156328, episodic_return=231.28
global_step=156728, episodic_return=225.32
global_step=157140, episodic_return=226.56
global_step=157564, episodic_return=232.84
global_step=157976, episodic_return=227.84
global_step=158388, episodic_return=229.34
global_step=158812, episodic_return=233.59
global_step=159220, episodic_return=229.26
global_step=159636, episodic_return=229.52
global_step=160044, episodic_return=229.25
global_step=160452, episodic_return=225.67
global_step=160860, episodic_return=227.68
global_step=161260, episodic_return=227.18
global_step=161684, episodic_return=236.91
global_step=162104, episodic_return=237.48
global_step=162508, episodic_return=228.01
global_step=162920, episodic_return=227.85
global_step=163336, episodic_return=231.13
global_step=163712, episodic_return=205.16
Eval: global_step=163840, reward=229.59 +/- 1.57
global_step=164132, episodic_return=231.98
global_step=164556, episodic_return=236.05
global_step=164964, episodic_return=228.34
global_step=165372, episodic_return=230.21
global_step=165784, episodic_return=230.26
global_step=166196, episodic_return=230.72
global_step=166612, episodic_return=235.01
global_step=167032, episodic_return=233.82
global_step=167448, episodic_return=225.69
global_step=167860, episodic_return=229.66
global_step=168280, episodic_return=231.24
global_step=168692, episodic_return=230.92
global_step=169108, episodic_return=230.85
global_step=169512, episodic_return=226.44
global_step=169924, episodic_return=232.79
global_step=170332, episodic_return=226.88
global_step=170740, episodic_return=229.03
global_step=171156, episodic_return=231.62
global_step=171564, episodic_return=229.31
global_step=171972, episodic_return=228.02
Eval: global_step=172032, reward=230.55 +/- 1.14
global_step=172388, episodic_return=231.57
global_step=172816, episodic_return=233.81
global_step=173228, episodic_return=235.17
global_step=173632, episodic_return=225.82
global_step=174040, episodic_return=228.58
global_step=174456, episodic_return=232.45
global_step=174868, episodic_return=230.91
global_step=175284, episodic_return=232.44
global_step=175708, episodic_return=235.74
global_step=176120, episodic_return=229.67
global_step=176552, episodic_return=242.59
global_step=176964, episodic_return=230.99
global_step=177368, episodic_return=226.38
global_step=177784, episodic_return=232.59
global_step=178196, episodic_return=231.57
global_step=178612, episodic_return=232.07
global_step=179032, episodic_return=234.77
global_step=179456, episodic_return=231.43
